SCHEMA,TABLE,STATUS,COUNT,MESSAGE
tobestage,TEST_FAIL,E,0,"('42S02', '[42S02] [Oracle][ODBC][Ora]ORA-00942: 테이블 또는 뷰가 존재하지 않습니다\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00 (942) (SQLExecDirectW)')"
tobestage,ZZ_HNG_PROP,S,2213,SUCCESS
